customer_id,signup_date,age,age group,gender,country,segment,is_churned,lifetime_value,email_opt_in,has_app
C00000,2/13/2020,28,Young Adult,Male,BR,Premium,0,1595.27,0,0
C00001,10/1/2021,22,Young Adult,Prefer not to say,FR,Regular,0,1160.61,1,0
C00002,6/26/2022,30,Adult,Female,US,VIP,0,3093.32,1,1
C00003,12/21/2021,48,Middle Age,Female,US,Premium,1,2131.08,1,0
C00004,9/16/2021,37,Adult,Male,CA,Budget Shopper,0,583.39,0,1
C00005,2/27/2024,46,Middle Age,Male,US,Occasional Visitor,1,833.78,1,0
C00006,2/16/2020,41,Adult,Female,UK,Premium,0,2491.77,1,0
C00007,6/14/2022,27,Young Adult,Male,JP,Premium,0,1881.17,1,1
C00008,1/23/2022,18,Teenager,Female,UK,Budget Shopper,0,631.11,1,1
C00009,5/5/2022,23,Young Adult,Prefer not to say,US,Regular,0,856.31,0,1
C00010,7/20/2021,26,Young Adult,Male,US,Regular,0,1294.25,1,1
C00011,4/10/2021,26,Young Adult,Female,BR,VIP,0,6623.57,0,0
C00012,5/21/2022,46,Middle Age,Female,US,Regular,0,679.1,0,0
C00013,10/14/2020,46,Middle Age,Male,US,Premium,0,2156.11,1,1
C00014,6/3/2024,61,Senior Citizen,Female,CA,Regular,0,962.94,1,0
C00015,8/20/2021,25,Young Adult,Female,UK,Budget Shopper,0,534.11,1,0
C00016,12/1/2022,54,Middle Age,Male,US,Regular,0,840.56,1,1
C00017,2/11/2022,54,Middle Age,Male,CA,Budget Shopper,0,354.32,1,1
C00018,8/2/2021,32,Adult,Female,CA,Premium,0,2367.84,1,0
C00019,7/15/2023,40,Adult,Female,US,Regular,1,945.69,1,1
C00020,4/9/2020,49,Middle Age,Non-binary,UK,Premium,0,2312.42,0,0
C00021,10/12/2022,34,Adult,Female,FR,Regular,0,1345.49,0,1
C00022,6/13/2023,33,Adult,Male,US,Occasional Visitor,1,476.52,1,0
C00023,2/26/2020,27,Young Adult,Prefer not to say,MX,VIP,0,4857.78,1,1
C00024,4/28/2020,18,Teenager,Female,US,Premium,0,2045.42,1,0
